nodenumber     x-coordinate     y-coordinate     z-coordinate       wall-shear     x-wall-shear     y-wall-shear     z-wall-shear 
         1 -1.035799433E-04 -2.994203471E-03 -3.449773594E-09  1.539254357E+00  6.841771574E-03  4.278731022E-03  1.538789018E+00 
         2  3.997065913E-04 -2.970621012E-03  1.151484376E-08  1.494259121E+00 -4.079358873E-03  2.757775549E-03  1.493931764E+00 
         3 -5.978797362E-04 -2.934061428E-03 -8.014921531E-09  1.694715887E+00  1.637940840E-02 -1.022507103E-02  1.694161771E+00 
         4  9.371160714E-04 -2.844880239E-03 -1.701643636E-09  1.656563586E+00 -2.111051699E-02 -1.188580938E-03  1.656207617E+00 
         5 -1.101783566E-03 -2.784546269E-03  1.197946915E-08  1.701484088E+00  7.973675123E-02 -5.985597260E-02  1.687074933E+00 
         6  1.344990675E-03 -2.679241546E-03 -1.213854433E-08  1.568165146E+00  1.190744118E-03 -1.061887617E-02  1.560259845E+00 
         7 -1.391832656E-03 -2.644503242E-03  1.451512868E-08  2.066872459E+00  1.699416690E-03  6.235502749E-03  2.060105962E+00 
         8 -1.689233145E-03 -2.472153781E-03  1.428501195E-08  1.725940407E+00 -8.443102230E-03 -1.101917243E-02  1.715251032E+00 
         9  1.767608965E-03 -2.418920870E-03 -8.434868906E-09  1.757841353E+00  1.434503206E-02  4.869653428E-03  1.757415952E+00 
        10 -1.961697433E-03 -2.260061610E-03  1.595764373E-08  1.912877331E+00  1.036504286E-02  5.521379078E-03  1.905120866E+00 
        11  2.231803762E-03 -1.998110866E-03 -8.262948933E-09  1.707747247E+00 -3.299053583E-02 -7.419330753E-02  1.698946706E+00 
        12 -2.222772465E-03 -1.997518873E-03  1.743407566E-08  1.682591873E+00 -5.829892159E-02  1.725850125E-02  1.670428432E+00 
        13  2.429007169E-03 -1.744774424E-03 -9.342431884E-09  2.046337191E+00 -1.050021111E-02 -1.718980543E-04  2.039361537E+00 
        14 -2.480783342E-03 -1.669040044E-03  1.459649299E-08  1.725927339E+00 -2.664011002E-02 -2.337085544E-02  1.724962001E+00 
        15  2.604634409E-03 -1.467391203E-03 -9.271196617E-09  1.626408556E+00  6.751375962E-02  6.602028765E-02  1.614703766E+00 
        16 -2.672023185E-03 -1.362920826E-03  6.449923455E-09  1.751991921E+00  1.580472231E-02  3.403266778E-03  1.751597470E+00 
        17 -2.838383094E-03 -9.532639837E-04  1.139359992E-09  2.005407842E+00 -1.237680071E-02 -4.011865739E-03  2.004824512E+00 
        18  2.888155598E-03 -7.814959659E-04 -1.352505997E-08  1.771355737E+00  5.156625118E-02 -2.576011664E-02  1.769889215E+00 
        19 -2.931547304E-03 -5.824488082E-04 -2.892164413E-09  1.931262813E+00 -2.870526788E-02 -9.291848304E-03  1.930832212E+00 
        20  2.966160200E-03 -3.680189427E-04 -4.030361388E-09  2.015516278E+00  2.196778402E-02 -1.535504384E-02  2.014857464E+00 
        21 -2.985149525E-03 -1.472416739E-04 -4.474591363E-09  1.551365074E+00 -3.409922776E-02  1.765246708E-02  1.540791977E+00 
        22  2.995222472E-03 -1.247918069E-04  3.993684194E-09  1.828813736E+00 -4.226299059E-03 -4.100765091E-03  1.828605793E+00 
        23  2.982536934E-03  2.208056406E-04  5.250140725E-09  1.532311454E+00  1.579185868E-02  1.228693159E-02  1.524664717E+00 
        24 -2.948003671E-03  4.987990795E-04 -8.741646940E-09  1.675807944E+00 -4.962448398E-02 -6.595282509E-03  1.674644843E+00 
        25  2.897341866E-03  7.426811213E-04  1.957683801E-09  1.837991810E+00  2.262808452E-02  1.446251098E-02  1.837237410E+00 
        26 -2.861402171E-03  8.645157629E-04 -3.438520643E-09  1.751519991E+00 -5.009474189E-02 -8.063909564E-02  1.747204266E+00 
        27 -2.742390286E-03  1.207440672E-03  9.141370790E-09  1.841779545E+00  1.061884272E-03 -3.666547978E-02  1.832426342E+00 
        28  2.732891689E-03  1.213582931E-03 -2.556734338E-09  1.774727491E+00  4.624585361E-02  2.284016287E-02  1.773588574E+00 
        29 -2.523865581E-03  1.620205002E-03  1.351986039E-08  1.459084224E+00  3.385599091E-02  6.888610329E-02  1.446108123E+00 
        30  2.412621851E-03  1.778175796E-03 -1.505948038E-08  1.605145221E+00  2.342654422E-02 -7.238410053E-03  1.596252865E+00 
        31  2.235241281E-03  1.984173154E-03 -1.464280173E-08  1.854612277E+00 -7.288972067E-03  1.241268428E-02  1.854383400E+00 
        32 -2.180650338E-03  2.057643273E-03  1.216169916E-08  1.530095641E+00  1.919826398E-02  1.347284726E-02  1.529748564E+00 
        33  2.062576630E-03  2.175249441E-03 -1.324848262E-08  1.877295353E+00 -5.049300100E-03  1.349830306E-03  1.877223096E+00 
        34 -1.898955912E-03  2.312193265E-03  1.170731103E-08  1.606223085E+00  6.056049804E-03  2.729265467E-02  1.605256415E+00 
        35  1.625889736E-03  2.521003366E-03 -1.141705306E-08  1.909103710E+00 -1.196006670E-02 -1.813154921E-02  1.908511092E+00 
        36 -1.218799053E-03  2.730838429E-03 -1.022718110E-08  1.618129152E+00 -2.900840656E-02  9.028441092E-03  1.617228940E+00 
        37  1.202725110E-03  2.745033871E-03 -1.174452028E-08  1.932234979E+00  2.952768839E-03  5.837852829E-03  1.932051773E+00 
        38 -8.286003268E-04  2.879028219E-03  2.394250828E-09  1.759728589E+00 -1.784600133E-02 -1.214037112E-02  1.759436312E+00 
        39  7.232449994E-04  2.907193084E-03 -1.794171561E-08  1.687167258E+00  7.650358942E-02 -5.035011977E-03  1.677839496E+00 
        40 -4.940691229E-04  2.950755259E-03 -5.541552845E-09  1.682598838E+00 -3.857005604E-04  1.968962799E-02  1.675938536E+00 
        41  3.779238344E-04  2.964965961E-03 -3.444129270E-09  2.019130907E+00  4.888508758E-03 -9.868896551E-03  2.008502621E+00 
        42  2.888278428E-05  2.991840505E-03  4.417055362E-09  1.861210107E+00 -8.182124507E-02  7.336458113E-04  1.857695260E+00 
        43 -2.879953521E-03 -8.230560217E-04  2.887163597E-04  1.513567256E+00 -7.317492326E-03  5.458408181E-03  1.513067395E+00 
        44  2.970883034E-03 -3.339883546E-04  3.161734493E-04  1.426794009E+00 -7.049480673E-03 -1.847700249E-02  1.426496367E+00 
        45  1.488036584E-03  2.593985204E-03  3.217108700E-04  1.448673185E+00 -9.990642544E-03 -1.565127048E-02  1.448193323E+00 
        46 -1.392189092E-03 -2.644313223E-03  3.222279702E-04  1.450831528E+00  2.646742701E-02 -1.419553260E-02  1.439736211E+00 
        47  2.926271339E-03 -6.555435373E-04  3.278473473E-04  1.335992084E+00  1.145867112E-02 -1.000662721E-02  1.335449936E+00 
        48  2.428355332E-03 -1.745614135E-03  3.281152404E-04  1.420089802E+00 -3.367014773E-04  1.160074448E-02  1.409290015E+00 
        49  2.832440988E-03  9.684474928E-04  3.314171591E-04  1.363265541E+00  1.004891810E-02  1.079092063E-02  1.362785787E+00 
        50 -2.397440309E-03 -1.801889982E-03  3.454419241E-04  1.291585081E+00  2.568325155E-02 -5.464605458E-02  1.287131588E+00 
